msgid,msgctxt,domain,es_ES,en_GB,de_DE,fr_FR,es_MX,es_CL,es_CO,en_US,de_AT
Pregunta a los Cirujanos,iol_proms,iol-proms,Pregunta a los Cirujanos,Ask the Surgeons,,,,,,,
Editar Perfil,iol_proms,iol-proms,Editar Perfil,Edit Profile,,,,,,,
lente-intraocular,iol_proms,iol-proms,lente-intraocular,intraocular-lens,,,,,,,
clinica,iol_proms,iol-proms,clinica,clinic,,,,,,,
